?taxon,?taxon_name,taxon_search_string,otl_is_approximate_match,otl_is_synonym,otl_matched_name,otl_nomenclature_code,otl_score,otl_search_string,otl_taxon.flags,otl_taxon.is_suppressed,otl_taxon.is_suppressed_from_synth,otl_taxon.name,otl_taxon.ott_id,otl_taxon.rank,otl_taxon.source,otl_taxon.synonyms,otl_taxon.tax_sources,otl_taxon.unique_name
Q729,Animalia,animalia,False,True,Animalia,ICZN,1.0,animalia,[],False,False,Metazoa,691846.0,kingdom,ott3.6draft1,['Animalia'],"['silva:D14357/#4', 'ncbi:33208', 'worms:2', 'gbif:1', 'irmng:11']",Metazoa
Q808,Virus,virus,True,False,Virgus,ICZN,0.8333333134651184,virus,[],False,False,Virgus,2851746.0,genus,ott3.6draft1,[],"['gbif:4593126', 'irmng:1289946']",Virgus
Q2442,Gaala,gaala,True,False,Gabala,ICZN,0.8333333134651184,gaala,[],False,False,Gabala,4239245.0,genus,ott3.6draft1,[],"['ncbi:1369218', 'gbif:1800523', 'irmng:1371018']",Gabala
Q73878,Stachyris melanothorax,stachyris melanothorax,False,True,Stachyris melanothorax,ICZN,1.0,stachyris melanothorax,[],False,False,Cyanoderma melanothorax,453415.0,species,ott3.6draft1,"['Myiothera melanothorax', 'Stachyris melanothorax']","['ncbi:1006750', 'gbif:2493433', 'irmng:10591543']",Cyanoderma melanothorax
Q6868,Human herpesvirus 3,human herpesvirus,,,,,,,,,,,,,,,,
Q6900,Human herpesvirus 4,human herpesvirus,,,,,,,,,,,,,,,,
Q38578,Phalacrocorax chalconotus,phalacrocorax chalconotus,False,True,Phalacrocorax chalconotus,ICZN,1.0,phalacrocorax chalconotus,[],False,False,Leucocarbo chalconotus,480890.0,species,ott3.6draft1,"['Eulococarbo chalconotus', 'Graculus chalconotus', 'Phalacrocorax carunculatus chalconotus', 'Phalacrocorax chalconotus']","['ncbi:146625', 'worms:343941', 'gbif:5789268', 'irmng:10216391']",Leucocarbo chalconotus
Q64101,Heteromys australis,heteromys australis,False,False,Heteromys australis,ICZN,1.0,heteromys australis,[],False,False,Heteromys australis,849647.0,species,ott3.6draft1,[],"['ncbi:435255', 'gbif:2439568', 'irmng:10762844']",Heteromys australis
Q38717,Gyptis brevipalapa,gyptis brevipalapa,False,True,Gyptis brevipalapa,ICZN,1.0,gyptis brevipalapa,[],False,False,Podarkeopsis brevipalpa,4980394.0,species,ott3.6draft1,"['Gyptis brevipalapa', 'Gyptis brevipalpa', 'Oxydromus brevipalpa']","['worms:157532', 'gbif:2309035', 'irmng:10232403', 'irmng:10822308']",Podarkeopsis brevipalpa
Q38735,Gyptis fasciatus,gyptis fasciatus,False,True,Gyptis fasciatus,ICZN,1.0,gyptis fasciatus,[],False,False,Oxydromus flexuosus,7488607.0,species,ott3.6draft1,"['Gyptis fasciatus', 'Nereis flexuosa', 'Ophiodromus flexuosus', 'Ophiodromus vittatus', 'Oxydromus fasciatus', 'Oxydromus vittatus', 'Podarke albocincta']","['worms:710680', 'gbif:7189800', 'irmng:10198918', 'irmng:11856896']",Oxydromus flexuosus
