?taxon	?taxon_name
Q729	Animalia
Q808	Virus
Q2442	Gaala
Q73878	Stachyris melanothorax
Q6868	Human herpesvirus 3
Q6900	Human herpesvirus 4
Q38578	Phalacrocorax chalconotus
Q64101	Heteromys australis
Q38717	Gyptis brevipalapa
Q38735	Gyptis fasciatus
Q64524	Psammomys
Q71118	Leptosomus discolor
Q69167	Aaaaba
Q69909	Calloselasma rhodostoma
Q6542	Herpesvirales
Q6844	Hepatitis B virus
Q6974	Human herpesvirus 6
Q13181	Vaccinium subg. Oxycoccus
Q19078	Inioidea
Q19081	Prokaryota
Q38584	Canis lupus dingo
Q38753	Gyptis roseus
Q10892	Protista
Q6521	Caudovirales
Q64119	Echiura
Q20868	Ferae
Q6770	Myoviridae
Q21053	Dicrocoelium dendriticum
Q6808	Siphoviridae
Q20958	Mya arenaria
Q62138	Lactarius deliciosus
Q6797	Podoviridae
Q65021	Plasmodium berghei
Q8316	Dicotyledones
Q69308	Theope sticheli
Q20857	Crassostrea gigas
Q6946	Cytomegalovirus
Q13178	Vaccinium sect. Cyanococcus
Q17700	Lutreola
Q20949	Acrochaene punctata
Q38719	Gyptis lobatus
Q62181	Salamandra
Q63898	Cyphorhinus arada
Q64683	Aloe ruffingiana
Q21132	Mytilus
Q6553	Picornavirales
Q12072	Opisthothelae
Q6836	Ascoviridae
Q6729	Tymoviridae
Q21118	Acanthephippium
Q38385	Rhopalura pelseneeri
Q62370	Megalobulimus popelairianus
Q62797	Ectoedemia alexandria
Q65307	Bellevalia paradoxa
Q19159	Tetrapoda
Q19430	Xiphosura
Q21038	Lychnis flos-cuculi
Q18861	Hydrophasianus chirurgus
Q13180	Rubus subg. Rubus
Q19163	Neornithes
Q21153	Tadorninae
Q38512	Gyptis brevipalpa
Q38542	Gyptis rosea
Q38739	Intoshia major
Q60430	Paraliparis brunneus
Q61865	Pavo cristatus
Q63262	Cerocephalinae
Q19166	Palaeognathae
Q6120	Erinaceinae
Q12081	Mygalomorphae
Q20862	Tethytheria
Q6929	Human herpesvirus 5
Q7372	Selachimorpha
Q12076	Mesothelae
Q19170	Ratitae
Q19707	Equus africanus asinus
Q37212	Lemuriformes
Q7375	Camelus
Q20634	Vitis vinifera subsp. vinifera
Q74083	Ostracodermi
Q80459	Boreostereaceae
Q80619	Trichomycetes
Q110065	Ballini
Q110352	Itatini
Q110123	Rudrini
Q110307	Zenodorini
Q114551	Accipiter griseiceps
Q132457	Scopula imitaria
Q132644	Lactobacillus acidophilus
Q132631	Reduncinae
Q132590	Vivianiaceae
Q132998	Sphyrna
Q80174	Pan
Q80066	Anisoptera
Q132979	Caenogastropoda
Q132808	Triops cancriformis
Q114893	Cepaea nemoralis
Q80362	Milvus migrans
Q77332	Galago senegalensis
Q80858	Perisoreus canadensis
